City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,san cristobal,7.7669,-72.225,75.38,62,27,1.92,VE,1675809347
317,wilmington,34.2257,-77.9447,61.0,57,96,3.0,US,1675809050
318,xinyu,27.8043,114.9334,50.2,97,100,4.38,CN,1675809348
319,marfino,55.7028,37.3822,21.45,73,75,8.95,RU,1675809348
320,boende,-0.2167,20.8667,80.35,44,98,1.12,CD,1675809348
321,vila velha,-20.3297,-40.2925,80.55,88,40,13.8,BR,1675809349
322,sao joao da barra,-21.6403,-41.0511,78.89,93,100,3.76,BR,1675809349
323,goderich,43.7501,-81.7165,35.92,93,100,12.66,CA,1675809218
324,berekua,15.2333,-61.3167,77.29,78,37,15.08,DM,1675809350
325,nikolskoye,59.7035,30.7861,30.09,88,99,10.07,RU,1675809221
326,arona,28.0996,-16.681,56.82,65,40,5.75,ES,1675809350
327,serebryanyy bor,56.8,124.8,-22.38,100,100,2.1,RU,1675809344
328,pacific grove,36.6177,-121.9166,62.28,71,0,5.99,US,1675809297
329,kharp,66.8014,65.8081,0.9,97,100,6.08,RU,1675809351
330,washougal,45.5826,-122.3534,49.95,93,100,11.99,US,1675809351
331,belmonte,-15.8631,-38.8828,79.29,76,6,10.56,BR,1675809351
332,nhulunbuy,-12.2333,136.7667,81.21,89,75,4.61,AU,1675809352
333,mitu,1.1983,-70.1733,76.51,86,75,2.48,CO,1675809352
334,namibe,-15.1961,12.1522,70.5,75,75,9.24,AO,1675809352
335,sibolga,1.7427,98.7792,73.51,73,100,4.85,ID,1675809353
336,hofn,64.2539,-15.2082,32.97,60,100,26.17,IS,1675809353
337,yamada,39.4667,141.95,34.09,88,99,9.1,JP,1675809353
338,kargasok,59.0556,80.8572,0.16,97,94,5.95,RU,1675809130
339,machaneng,-23.1862,27.4886,77.25,44,15,8.12,BW,1675809354
340,aksarayskiy,46.7924,48.0119,23.22,94,100,24.74,RU,1675809354
341,syracuse,37.0881,15.2792,47.57,58,100,16.51,IT,1675809355
342,saint-augustin,51.226,-58.6502,-3.41,86,1,4.09,CA,1675809077
343,innisfail,-17.5333,146.0333,80.55,89,88,12.57,AU,1675809355
344,polyarnyy,69.1989,33.4478,30.31,78,11,27.67,RU,1675809355
345,tete,-16.1564,33.5867,75.29,100,75,0.0,MZ,1675809356
346,bermejo,-32.8833,-68.8,96.71,23,0,5.75,AR,1675809356
347,xining,36.6167,101.7667,26.17,94,100,1.45,CN,1675809090
348,yunyang,33.4474,112.7142,42.4,73,100,7.72,CN,1675809357
349,at-bashi,41.1702,75.8106,2.19,54,33,5.23,KG,1675809357
350,jiguani,20.3667,-76.4272,73.18,69,42,15.79,CU,1675809357
351,solvychegodsk,61.3305,46.9156,18.48,95,100,10.04,RU,1675809358
352,ewa beach,21.3156,-158.0072,81.84,68,100,12.66,US,1675809358
353,shingu,33.7333,135.9833,45.43,83,1,7.47,JP,1675809358
354,kawalu,-7.3817,108.2082,72.14,95,100,2.08,ID,1675809359
355,karratha,-20.7377,116.8463,86.11,58,31,1.01,AU,1675809359
356,obo,5.3998,26.4869,74.89,18,26,5.68,CF,1675809359
357,mikhaylovka,50.06,43.2379,10.78,91,12,13.85,RU,1675809360
358,naze,28.3667,129.4833,59.92,72,82,12.95,JP,1675809360
359,domoni,-12.2569,44.5319,79.03,85,98,5.7,KM,1675809361
360,bongandanga,1.5,21.05,77.86,32,76,1.41,CD,1675809362
361,kadayanallur,9.0833,77.35,70.65,83,59,3.0,IN,1675809362
362,keti bandar,24.1447,67.4497,69.94,67,3,8.97,PK,1675809363
